Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
O116	osmosis	1544.120954	CY3	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.45	15.5135075	1.907116667
O116	pH	310794.8671	CY3	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.45	15.5135075	1.907116667
O116	temperature	307277.4741	CY3	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.45	15.5135075	1.907116667
O12	bile salt	6766.17653	J6	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.65	2.15	0.5406
O12	osmosis	198957.7473	J6	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.65	2.15	0.5406
O12	pH	372712.3544	J6	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.65	2.15	0.5406
O12	temperature	484124.3998	J6	Cornenzuelo de Jaén	Cornenzuelo de Jaén	Others	Others	Green olives	Specialties	Specialties	None	None	170	days ≤ 170	Jaen1	4.65	2.15	0.5406
O120	bile salt	0	PVG02	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.94	59.59	7.51
O120	osmosis	0	PVG02	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.94	59.59	7.51
O120	pH	273910.1454	PVG02	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.94	59.59	7.51
O120	temperature	1464652.626	PVG02	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	PVG_01	3.94	59.59	7.51
O121	bile salt	12220.47341	CY10	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.02	246.7743405	NA
O121	osmosis	183546.7327	CY10	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.02	246.7743405	NA
O121	pH	370177.278	CY10	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.02	246.7743405	NA
O121	temperature	528592.1903	CY10	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.02	246.7743405	NA
O122	bile salt	10198.35359	CP1	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.76	34.98162662	6.7575
O122	osmosis	173825.652	CP1	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.76	34.98162662	6.7575
O122	pH	364439.9561	CP1	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.76	34.98162662	6.7575
O122	temperature	535039.6475	CP1	Pit'ze Carroga	Pit'ze Carroga	Others	Others	Green olives	Natural olives	Natural olives	None	None	150	days ≤ 170	Copar	3.76	34.98162662	6.7575
