x	y	r
349	Marinilactibacillus_psychrotolerans	trans-2-hepten-1-ol	-0.323359109409556
350	trans-2-hepten-1-ol	Marinilactibacillus_psychrotolerans	NA
351	Pediococcus_ethanolidurans	ethylhydroxycinnamate	-0.322699990268967
352	ethylhydroxycinnamate	Pediococcus_ethanolidurans	NA
353	Rhodobacteraceae_bacterium	1-propanol	-0.322418069541911
354	1-propanol	Rhodobacteraceae_bacterium	NA
355	Altericroceibacterium_indicum	benzyl alcohol	-0.322224664825581
356	benzyl alcohol	Altericroceibacterium_indicum	NA
357	Lelliottia_amnigena	hexanoic acid	0.322171917562876
358	hexanoic acid	Lelliottia_amnigena	NA
359	Lentilactobacillus_kisonensis	1-nonanol	0.321788933059857
360	1-nonanol	Lentilactobacillus_kisonensis	NA
361	Marinilactibacillus_piezotolerans	ethyl lactate	-0.321761979057431
362	ethyl lactate	Marinilactibacillus_piezotolerans	NA
363	Rhodobacteraceae_bacterium	α-farnesene	-0.321661549436062
364	α-farnesene	Rhodobacteraceae_bacterium	NA
365	Lentilactobacillus_kisonensis	ethyl-3-methylbutanoate	0.321566351004972
366	ethyl-3-methylbutanoate	Lentilactobacillus_kisonensis	NA
367	Paucilactobacillus_suebicus	ethyl-3-methylbutanoate	-0.32140371071602
368	ethyl-3-methylbutanoate	Paucilactobacillus_suebicus	NA
369	Lentilactobacillus_kisonensis	propylpropanoate	0.321386730928095
370	propylpropanoate	Lentilactobacillus_kisonensis	NA
371	Halomonas_hibernica	ethylheptanoate	-0.321206085210471
372	ethylheptanoate	Halomonas_hibernica	NA
373	Halolactibacillus_alkaliphilus	ethyl lactate	-0.321074279993743
374	ethyl lactate	Halolactibacillus_alkaliphilus	NA
375	Malaciobacter_marinus	octanal	-0.320059268861782
376	octanal	Malaciobacter_marinus	NA
377	Lentilactobacillus_rapi	butanoic acid	0.320056686543125
378	butanoic acid	Lentilactobacillus_rapi	NA
379	Leuconostoc_mesenteroides	1-nonanol	0.319830234096204
380	1-nonanol	Leuconostoc_mesenteroides	NA
381	Levilactobacillus_senmaizukei	trans-2-hepten-1-ol	-0.319498072223326
382	trans-2-hepten-1-ol	Levilactobacillus_senmaizukei	NA
383	Ligilactobacillus_acidipiscis	2-butanone	-0.318706584665183
384	2-butanone	Ligilactobacillus_acidipiscis	NA
385	Alkalibacterium_pelagium	ethylacetate	-0.318583585056821
386	ethylacetate	Alkalibacterium_pelagium	NA
387	Ancrocorticia_populi	octanal	-0.318576430932259
388	octanal	Ancrocorticia_populi	NA
389	Lentilactobacillus_buchneri	4-methoxyphenol	0.317566299986972
390	4-methoxyphenol	Lentilactobacillus_buchneri	NA
391	Pediococcus_ethanolidurans	isobutyric acid	-0.317016615841519
392	isobutyric acid	Pediococcus_ethanolidurans	NA
393	Rhodobacteraceae_bacterium	benzyl alcohol	-0.316978564280121
394	benzyl alcohol	Rhodobacteraceae_bacterium	NA
395	Marinilactibacillus_piezotolerans	ethylacetate	-0.315093658782143
396	ethylacetate	Marinilactibacillus_piezotolerans	NA
397	Altericroceibacterium_indicum	isoamylalcohol	-0.315049740404355
398	isoamylalcohol	Altericroceibacterium_indicum	NA
399	Pediococcus_parvulus	isobutyric acid	0.314705692635536
400	isobutyric acid	Pediococcus_parvulus	NA
401	Alkalibacterium_thalassium	ethanol	-0.314682650342129
402	ethanol	Alkalibacterium_thalassium	NA
403	Altericroceibacterium_indicum	1-hexanol	-0.314620909096976
404	1-hexanol	Altericroceibacterium_indicum	NA
405	Leuconostoc_mesenteroides	2,3-butanediol	0.314340820242369
406	2,3-butanediol	Leuconostoc_mesenteroides	NA
407	Alkalibacterium_thalassium	1-nonanol	-0.31394482109337
408	1-nonanol	Alkalibacterium_thalassium	NA
409	Pediococcus_parvulus	2,3-butanediol	0.313760110450797
410	2,3-butanediol	Pediococcus_parvulus	NA
411	Paucilactobacillus_suebicus	isoamylalcohol	-0.313738596317159
412	isoamylalcohol	Paucilactobacillus_suebicus	NA
413	Paucilactobacillus_suebicus	1-nonanol	-0.312767242470097
414	1-nonanol	Paucilactobacillus_suebicus	NA
415	Paucilactobacillus_vaccinostercus	benzyl alcohol	-0.312747543361996
416	benzyl alcohol	Paucilactobacillus_vaccinostercus	NA
417	Alkalibacterium_olivapovliticus	1-nonanol	-0.312565853118016
418	1-nonanol	Alkalibacterium_olivapovliticus	NA
419	Pediococcus_ethanolidurans	cis-3-hexen-1-ol	-0.311248480369788
420	cis-3-hexen-1-ol	Pediococcus_ethanolidurans	NA
421	Actinomyces_SGB33761	ethanol	-0.311225445770037
422	ethanol	Actinomyces_SGB33761	NA
423	Paucilactobacillus_suebicus	α-farnesene	-0.311156507253283
424	α-farnesene	Paucilactobacillus_suebicus	NA
425	Leuconostoc_mesenteroides	ethylheptanoate	0.310740902356158
426	ethylheptanoate	Leuconostoc_mesenteroides	NA
427	Marinilactibacillus_psychrotolerans	2-phenylethanol	-0.310736342186769
428	2-phenylethanol	Marinilactibacillus_psychrotolerans	NA
429	Pediococcus_ethanolidurans	2-butanol	-0.310605174883683
430	2-butanol	Pediococcus_ethanolidurans	NA
431	Malaciobacter_marinus	3-pentanol	-0.3105512430869
432	3-pentanol	Malaciobacter_marinus	NA
433	Salinibacter_ruber	1-butanol	-0.310444074601256
434	1-butanol	Salinibacter_ruber	NA
435	Lentilactobacillus_rapi	acetic acid	0.310324896390897
436	acetic acid	Lentilactobacillus_rapi	NA
437	Altericroceibacterium_indicum	1-butanol	-0.310316397352551
438	1-butanol	Altericroceibacterium_indicum	NA
439	Rhodobacteraceae_bacterium	ethylhexanoate	-0.310059580778879
440	ethylhexanoate	Rhodobacteraceae_bacterium	NA
441	Pediococcus_ethanolidurans	ethylhexanoate	-0.309777329160061
442	ethylhexanoate	Pediococcus_ethanolidurans	NA
443	Alkalibacterium_pelagium	isoamylalcohol	-0.309703563560697
444	isoamylalcohol	Alkalibacterium_pelagium	NA
445	Paucilactobacillus_suebicus	3-pentanol	-0.309563349244424
446	3-pentanol	Paucilactobacillus_suebicus	NA
447	Leuconostoc_mesenteroides	ethylacetate	0.30950883133828
448	ethylacetate	Leuconostoc_mesenteroides	NA
449	Marinilactibacillus_piezotolerans	2-methyl-1-propanol	-0.309158676105278
